X-axis,Y-axis,Z-axis,Blood Value pulse,Electrodermal activity,Heart rate,Time interval, IBI,Temperature
-46,-7,-44,-62.47,0.343314,77.37,1920.875,0.65625,32.79
-45,-7,-45,-52.59,0.344595,77.57,1921.515625,0.640625,32.79
-47,-7,-46,-36.72,0.334347,77.78,1922.15625,0.640625,32.79
-45,-8,-42,-18.19,0.336909,78.02,1922.75,0.59375,32.79
-46,-6,-44,-2.67,0.326661,78.32,1923.375,0.625,32.79
-46,-7,-44,4.6,0.324099,78.62,1924.015625,0.640625,32.79
-48,-7,-44,1.62,0.326661,78.82,1924.625,0.609375,32.79
-48,-7,-44,-9.23,0.327942,79.03,1925.234375,0.609375,32.79
-49,-4,-44,-22.46,0.326661,79.22,1925.890625,0.65625,32.79
-52,-5,-46,-32.18,0.333066,79.4,1933.90625,0.609375,32.79
-52,-9,-46,-35.08,0.335628,79.67,1934.5,0.59375,32.79
-45,-8,-45,-31.71,0.335628,79.88,1935.140625,0.640625,32.81
-45,-7,-46,-25.49,0.33819,79.98,1935.765625,0.625,32.81
-40,0,-44,-20.41,0.335628,80.08,1936.375,0.609375,32.81
-61,-13,-54,-18.7,0.330504,80.23,1937.015625,0.640625,32.81
-51,-7,-49,-20,0.333066,80.38,1937.65625,0.640625,32.81
-48,-7,-45,-22.04,0.357405,80.48,1938.375,0.71875,32.81
-47,-6,-42,-22.38,0.368935,80.62,1939.046875,0.671875,32.81
-48,-3,-43,-19.81,0.347157,80.68,1939.765625,0.71875,32.81
-46,-4,-38,-14.95,0.348438,80.87,1940.46875,0.703125,32.83
-47,0,-38,-9.52,0.347157,81.02,1941.15625,0.6875,32.83
-44,1,-38,-5.32,0.351,81.18,1941.8125,0.65625,32.83
-48,0,-38,-3.44,0.351,81.33,1942.453125,0.640625,32.83
-48,1,-36,-3.61,0.351,81.35,1943.109375,0.65625,32.83
-49,-1,-32,-4.66,0.352281,81.45,1943.75,0.640625,32.83
-58,1,-38,-5.15,0.347157,81.6,1944.40625,0.65625,32.83
-53,-1,-37,-4.04,0.347157,81.75,1945.078125,0.671875,32.83
